№,Номер лицензии  ,Название объекта,Недропользователь,"Месторасположение объекта, область, район", № и срок действия ЛС,Вид полезного ископаемого,Целевое назначение работ,"Размер площади, га",Номенклатура топографической карты 1:100000 масштаба,"Основание выдачи лицензии, № протокола, дата составления","Адрес, телефон, факс недропользователя, ФИО руководителя ",Сведения об учредителях,"Дата оплаты бонуса, номер платежного документа","Размер бонуса, тыс. сом",Сведения о наличии рекультивационного счета ,Сведения об оплате за лицензию,ИНН,координаты Х,координаты У,Страны,Статус ,        Руководитель                                                   ,Телефон ,Айыльный аймак ,примечание,Информация о бенефициарах (зеленый есть;синий ОсОО; красный нету),,,,,,
3040,3743 ТЕ от 04.11.14 г. до 04.11.33 г. Бланк №01191,"Месторождение ""Чигирташ-Северный-1""","ОсОО ""Кутт Компани""","Джалал-Абадская область, Аксыйский район",№2 от  12.08.2022г до  12.08.2024г , известняк-ракушечник,ЕП,"46,2 га",К-43-85,протоколпереговоров №336-Н-14 от 04.11.2014г,"г. Бишкек, ул. Чокана Валиханова,д.1,кв.4г","гр. КР Кочукулов  Ч.Р.-90%, Буянов В.С. - 10%;",,,,кв нет,ИНН 02905201410274,4583175  4583190  4582385  4582600,13253310  13254020  13253415  13252925,Кыргызстан,ТЕ,Койчукулов Ч.Р.,"0773-348412,0707-650730, 0773-348412",,,,,,,,,
3041,3750 ТЕ от 06.11.14 г. до 06.11.34 г. Бланк №01188,Байгельдинская площадь ,"ОсОО ""Тоо-Шагыл""","Чуйская область, Аламудунский р-н",№ 4 от 28.04.18 г. до 06.11.34 г., ПГС,ЕР,10 га,К-43-41,протокол переговоров №344-Н-14 от 06.11.14 г. ЛС№4 Пр №592 от 18.09.2017г,"Чуйская обл, Аламудунский р-н, с. Байгельди",гр. КР Сырдыбаева Г.М. - 100%,1299145030000158 №237000089 от 22.01.2015г. Код пл 11441320,"233415,33с",,Перв. РОК 1299145030000158 кв 237000126 от 06.11.14 Г.,ИНН 01104201310189,4734400  4734500  4734300  4734200,13457375   13457850  13457900  13457425,Кыргызстан,ТЕ,Аксубаев К.А.,771650595,Аламудунский р-н,,,,,,,,
3042,3751 ВЕ пер. 10.11.2014 г.от 13.08.2019г до 13.08.2029 г. бланк №002433,Родник Жыл-Булак,"ОсОО ""БКЗ""","Чуйская область, Московский р-н",№ 4 от 13.08.19 г. до 13.08.29 г., ППВ,ЕР,"32,9 м³/сут",К-43-41-В,Протокол №29-Н-19 от 19.06.2019г ,"г. Бишкек, ул. Рыскулова 79 Б",гр. КР Примов Бердибай - 100%,1)1290055030000556  ОКПО 24292438 18.06.2019г 2)03.07.2019г ,1)29888 сом         2) 57389-21сом,,РСК банк 140 от 20.08.19 г.,ИНН 02308200610092,13428700,4735120,Кыргызстан,ВЕ,Эрматов Б.,"0551-052075,5-77-47,0555-45-14-94",Московский р-н,,,,,,,,
3043,3753 ТЕ от 17.11.14 г. до 17.11.33 г. Бланк №002837,"Месторождение ""Чолоктор"", участок Северный","ОсОО ""Аалам Кен""","Чуйская область, Иссык-Атинский и Аламудунский районы",№ 4 от 03.03.20 г. до 17.11.33 г., известняк,Е,"14,3  га",К-43-54,переоформ. Протокол №03-Н-2020 от 19.02.20г.,"г. Бишкек, мкр. Джал-23, ул. Тыналиева, 1/3","ОсОО ""Аалм Строй"" - 50%, гр.КР Исакова Джамиля Аблесовна-50%",,,,Перв. РОК 1299155030000546 кв 276400131 от 27.05.20 г.,ИНН 00611201910192,13477958  13477918  13477925  13478007  13478363  13478282  13478143  13478117  13478048  13478002,4725422  4725279  4725164  4724800  4724823  4724994  4725074  4725266  4725407  4725425,Кыргызстан,Аннулирована. Протокол №53-Н-2025 от 01.10.2025г ,,,,,,"1)  ОсОО ""Чон-Туз; Дооталиев Азамат                      2)Доталиев Аскар Марсбович ",КР,без указания сведений,"1)0555979993,Adootaliev@gmail.com,                          2)0701081908",1)99%/99%;               2)1%/1%;,05.07.2024г.
3044, 3757 ТЕ (НМ-101-03) от 30.10.08 г. до 14.06.36 г. Бланк №000871,Месторождении Чон-Туз,"ОсОО ""Чон-Туз""","Нарынская обл., Кочкорский р-н",№ 9 от 10.02.2025г до 14.06.2036г.,каменная соль,ЕР,"22,0 га",К-43-68,Протокол переговоров №1251-Н-08 от 30.10.08г ЛС №9 протокол №02-Н-2025 от 17.01.2025г.,"Нарынская обл., Кочкорский р-н, с.Туз,ул.Мамбеталиева,№12","гр. КР 1.Дооталиев А.Т.-99%, Дооталиев А.М.-1%",,,,Перв. РОК 129923500000515 кв 81000244 от 14.06.17 г.,ИНН 01812200010022,13541950  13542000  13542440  13542350  13542220  13542105  13542030   13541735  13541765  13541800  13541800  13541975  13541950,4667160  4667180  4666960  4666765  4666635  4666665  4666715  4667060  4667200  4667200  4667115  4667050  4667125,Кыргызстан,ТЕ,Дооталиев Азамат Тимурович ,"0557-802727, 0555-979993",,,Бенефициары,,,,,,
3045,3758 ТЕ от 20.11.14 г. до 20.11.33 г. Бланк №01206,"Участок Южный, месторождение Токмокское ","ОсОО ""Кум Трейд""","Чуйская область, Чуйский район",№ 1 от 20.11.14 г. до  20.11.33 г., ПГС,Е,"7,0 га",К-43-43,Протокол переговоров №354-Н-14 от 20.11.14 г.,"Чуйская область, Чуйский р-н, с. Чуй, Промзона, ул. Калиновская",гр. КР Юлдашева Р.А. - 100%,,,,Перв. РОК 1290535030000160 кв 72600054 от 21.11.14 г.,ИНН 01703201410061,4738600  4738600  4738250  4738250,13526500  13526700  13526700  13526500,Кыргызстан,ТЕ,,,,,,,,,,,
3046,3761 СЕ от 21.11.2014 г. до 21.11.2034 г. бланк №01179,"Участок ""Кокинесай-Восточный"" Сулюктинского буроугольного месторождения","ОсОО ""Таш-Короо""","Баткенская область, Лейлекский район",№ 4 от 25.01.2023 г. до  21.11.2034 г., Уголь,ЕР,"58,27 га",J-42-08,Протокол № 06-Н-2023 от 23.01.2023 г.,"Баткенская область, г. Сулюкта, ул. Д. Жороева 47","гр. КР Уметов И.Т. - 20%, Карабаева Г.М. - 10%, Абдурахманова У.А. - 10%, Алимкулов Э.Т. - 20%,  Шамшиев М. А. - 10%, Досоева Г.С. - 10%, Абдибапов Т.Ы. - 20%",Кв. № 201100250   09.11.2017г. Кв. № 82/С/РМС/2      19.10.2017г. Кв. № 88200016     04.12.2014г. Кв. № 62/19    08.04.2015г.,"350-00 сом,          7547-00 сом,                   13792-00 сом,         16991-00 сом,        ",,Перв. РОК       1290535030000160 кв. №  72600086 от 24.11.2014 г.,ИНН 01008200710062,4425187  4424954  4424531  4424532 4424706,12567631      12568807      12568813     12568230      12567631   ,Кыргызстан,СЕ,Карабаев Г. М.,Тел.              0778-22-04-22,Кулунду а/а,,,,,,,,
3047,3764 СР от 21.11.14 г. до 31.12.22г. Бланк №02555,"Участок Верхний Жаны Лагерь, месторождение Кок-Жангак","ОсОО ""Жаны Лагерь""","Жалал-Абадская обл., Сузакский р-н",№ 3 от 04.12.17 г. до  31.12.22 г., уголь,Р,"109,77 га","К-43-99, К-43-111",Протокол переговоров №361-Н-14 от 21.11.14 г.,"Жалал-Абадская обл., г. Кок-Жангак, ул. Октябрьская 8",гр. КР Салпиева Э. Н. - 100%,,,,Перв. РОК 1290535030000160 кв 72600119  от 24.11.14 г.,ИНН 01508201310025,4543261  4542514  4541977  4542738  4543080,13348765  13349565  13348997  13347920  13348214,Кыргызстан,Аннулирована.протокол №07-Н-2023г от 01.02.2023г,,,,,,,,,,,
3048,3769 СЕ пер.  25.11.2014 г. от 12.01.2016 г. до 25.11.2034 г. бланк №02222,Участок шахты №4/2 поля №12 Сулюктинского буроугольного месторождения,"ОсОО ""Тоо-Кен""","Баткенская область, Лейлекский район",№ 6 от 20.06.2025 г. до 25.11.2034 г., Уголь,ЕР,"6,38 га",J-42-08,Протокол переговоров № 367-Н-14 от 25.11.2014г   Протокол №28-Н-2025 от 04.06.2025г,"Баткенская область, г. Сулюкта, ул. Отбасарова, д. 39",гр. КР Абдибасыт уулу Шеримул - 100%,Кв. № 772/3  01.06.2018г.   Кв. № 772/2 01.06.2018г. Кв. № 62/10       08.02.2016г.   Кв.№ 602/20   26.05.2015г.     ,"20674-86 сом,            17527-71  сом,           18886-75 сом,          29416-00  сом,        ","ОАО Элдик Банк 1290505030000515 Кв. № 383900126 от 13.05.2025 г. 42,056-00 сом",Ленинс. РОК 1299005030000188 кв. № 44100313 от 18.12.2015 г.,ИНН 02405201310038,4424099  4424377  4424360  4424124,12561895     12561860      12562116     12562135,Кыргызстан,СЕ,Шадыев Б.А.,Тел. 0555-52-51-11,г. Сулюкта,,Бенефициар,Абдибасыт уулу Шеримкул ,"27.12.1996 г. Р. Кыргызстан, ID 3076188, ГРС 211-031 от 22.11.2022 г.",нет,"Баткенская область , Лейлекский район, с. Кулунду, ул. З. Аширов, д. 55, +996 555 525 111",100%,2025 г
3049,3773 ТЕ от 27.11.14 г. до 27.11.33 г. Бланк №01222,"Участок ""Ак-Дон""",ИП Кенжебаев Кадырбек,"Чуйская область, Иссык-Атинский район",№ 2 от 08.01.20 г. до  27.11.33 г., суглинок,Е,"3,8 га",К-43-42,Протокол переговоров №374-Н-14 от 27.12.14 г.,"г. Бишкек, ж/м Бакая-Ата, ул. Анар 8",гр. КР Кенжебаев К. - 100%,,,,Перв. РОК 1299235030000212 кв 90300042 от 20.11.14 г.,ИНН 20711196200958,4756557  4756294  4756255  4756517,13484962  13485079  13484909  13484865,Кыргызстан,ТЕ,,,,,,Кучаров Рахматулла ,"27.05.2017г.р.,  ID 020969 от 27.05.2017г, выдан МКК 213051 г. Сулюкта",директор,"Баткенская область, г. Сулюкта, ул. Раззакова 66/1, 0777 880018",100%,2025г
3050,3774 СЕ пер. 27.11.2014 г. от 19.11.2024г до 27.11.2027г. Бланк №000700 ,Локальный участок шурфа №15 поле шахты 2/8 Сюлюктинского месторождения ,ОсОО Алтын-Комур,"Баткенская область, Лейлекский район",№ 5 от 05.02.2025г до 27.11.2029г., Бурый уголь,предоставление удост ,"5,77 га",J-42-08,Пртокол № 36-Н-2023 от 30.05.2023г ЛС №5 протокол №02-Н-2025 от 17.01.2025г.,"Баткенская область, г.Сулюкта ул.И.Раззакова 66-1",гр. КР Кучаров Н.Н-100%,Кв. № 334600063    30.04.2022г.  Кв. № 334600061    30.04.2022г.  Кв. №66000020    15.04.2015г.,"1642-00 сом,        4105-00 сом,         6710-00 сом,   ",,ЦК МФКР    1296675030000537           Кв. № 344600112    от 08.06.2023 г.,ИНН 03110200810140,4422246      4422243       4421920     4421951,12550191      12550341     12550360     12550138,Кыргызстан,СЕ,Кучаров Т.Р.,Тел.                         0779-06-33-27,г. Исфана ,,Бенефициар,,,,,,
3051,3785 МЕ от 27.01.2015 г. до 08.12.2034 г. бланк №01414,Месторождение Кассан,"ОсОО ""ТЕРЕКСАЙ ЖАШТАРЫ""","Джалал-Абадская область, Чаткальский район",№ 5 от 19.09.2018 г. до  08.12.2034 г., сурьма,Е,"59,76 га",К-42-95,Аукцион,"Жалал-Абадская обл., Чаткальский р-н, с. Терексай, ул. Шалдыр б/н","ОсОО ""Ака Петролиум"" - 71%, гр. КР Элмуратова Ч.А. - 20%, ОсОО Синьцзяньская международная торговая компания ""Бизниснур"" - 9%, ",11702200037006751 ОКПО 28700609 от 12.01.2015г ,6941900 сом ,,Перв. РОК 1290535030000160 кв 91500066 от 10.12.14 г.,ИНН 01206201410209,21 точка,21 точка,Кыргызстан/ Дубай,МЕ,Сатыбалдиев Н.М.,"0558-940019,0220-540000",,Перегистрация Пр. №28 от 15.05.24г ,В деле нет Бенеф.,,,,,,
3052,3793 ТЕ от 10.12.14 г. до 10.12.24 г. Бланк №01248,"Месторождение ""Туюк-Жар""","ОсОО ""ТУЮК ЖАР""","Таласская область, Кара-Бууринский район",№ 1 от 10.12.14 г. до  10.12.24 г., суглинок,Е,"3,0 га",К-42-47,Протокол переговоров №394-Н-14 от 10.12.14 г.,"Таласская область, Кара-Бууринский р-н, с. Жоондобо","гр. КР Рахманалиев А.Р. - 50%, Сабиров Э.Т. - 50%",,,,Перв. РОК 1290535030000160 кв 72600091 от 18.12.14 г.,ИНН 01107200710251,4729900  4729900  4729800  4729800,12694850  12695150  12695150  12694850,Кыргызстан,Аннулирована. Протокол №53-Н-2024 от 13.08.2024г ,,,,,В деле нет Бенеф.,,,,,,
3053,3794 ВЕ пер. 10.12.14 г.от 12.04.2019г до 10.12.2028 г. бланк №002259,Скважина №9676 (112-П) Ала-Арчинского месторождения ,"ОсОО ""Kyrgyz Beton"" (Кыргыз Бетон)","Чуйская область, г. Бишкек",№ 4 от 14.10.21 г. до 10.12.28 г., ППВ,ЕР,100 м³/сут,К-43-42,Протокол №12-Н-2021 от 19.05.2021г ,"г. Бишкек, ул. Чокана Валиханова,д.2","гр. КР  Такабаев Т.А. - 10,46%, и гр. Турецкой Республики Арыкан Хусейин - 32,71%Арыкан Бурак-32,71 % и др.физ.лица",нет,нет,,Демир банк 1327 от 24.03.19 г.,ИНН 01604201210156,4747820,13473000,Кыргызстан/ Турция,ВЕ,Сарлыкбек уулу Темирлан,"0312-88-01-60, 0701-43-01-53,0312-88-43-67",г. Бишкек,,,,,,,,
3054,3795 ТР от 11.12.14г. до 11.12.19г. №01252,месторождение Чигирчик,ОсОО Прима-Триумф,"Ошская обл., Алайский р-н",№1 от 11.12.14г. до  11.12.19г., гипс,Р,1720 га,К-43-135,протокол переговоров №397-Н-14 от 11.12.14,"г. Ош, ул. Зайнабетдинова, 20/11",гр. КР Примов У.Б.-100%,,,,Перв.РОК       1290535030000160 кв.72600035  от 10.12.14   ,ИНН 02903200710012,"13358000, 13364000, 13364000, 13362000, 13360000, 13358000","4462000, 4462000, 4460000, 4458700, 4458700, 4460000",Кыргызстан,Аннулирована. Протокол №265-Н-18 от 20.06.18 ,,,,,,,,,,,
3055,3796 ТР от 11.12.14г. до 31.12.15г. №01293,участок Ак-Сай,ГП ПЛУАД №5,"Таласская обл., Таласский р-н",№1 от 11.12.14г. до  31.12.15г., ПГС,Р,"1,1 га",К-43-49,протокол переговоров №398-Н-14 от 11.12.14,"Таласская обл., г. Талас, ул. Ленина, 380",Министерство транспорта и комм.КР,,,,Перв.РОК       1290205030000106 кв.96000178  от 22.12.14   ,ИНН 00112198010021,"13288991, 13289101, 13289066, 13288985","4710982, 4710981, 4710857, 4710868",Кыргызстан,Аннулирована. Протокол № 193-Н-16 от 27.04.16г.,,,,,,,,,,,
3056,3797 ТР от 30.12.14г. до 31.12.15г. №01314,участок Кара-Буура,ГП ПЛУАД №6,"Таласская обл., Кара-Бууринский р-н",№1 от 30.12.14г. до  31.12.15г., ПГС,Р,"2,8 га",К-42-60,протокол переговоров №399-Н-14 от 11.12.14,"Таласская обл., Кара-Бууринский р-н, с. Кызыл-Адыр",Министерство транспорта и комм.КР,,,,Перв.РОК       1290215030000187 кв.81100105  от 26.12.14   ,ИНН 02101199810060,"12712307, 12712415, 12712509, 12712450, 12712392","4716580, 4716498, 4716498, 4716283, 4716289",Кыргызстан,Аннулирована. Протокол № 448-Н-16 от 23.09.16,,,,,,,,,,,
3057,3798 ТР от 16.12.14г. до 31.12.15г. №01289 продление от25.01.16г. до 31.12.17г. Бл.02405,"Локальный участок ""Ак-Турпак-1"" в пойме реки Сох",ОсОО РусОмур,"Баткенская обл., Баткенский р-н",№3 от 08.07.16г. до 31.12.17г., ПГС,Р,"9,70",К-42-143,протокол переговоров №402-Н-14 от 16.12.14,"г. Бишкек, ж/м Бакай-Ата, ул. Сыргак, 15",гр.КР Келдибекова Ж.К - 100%,,,,Перв.РОК       1299235030000111 кв.25200012  от 01.02.16г.   ,ИНН 02801201310199,4454751    4454703    4454587    4454252    4454232    4454000    4454048    4454242   4454319    4454468    4454513    4454645,12673559    12673706     12673625     12673492    12673509    12673337    12673278    12673306     12673402    12673422    12673505    12673519,Кыргызстан,Аннулирована. Протокол № 124-Н-17 от 24.03.17,,,,,,,,,,,
3058,3799 ТЕ от 17.12.14 г. до 31.12.24 г. Бланк №01288,Месторождение Ортоичке,"ОсОО ""Эльбардо""","Чуйская область, Аламудунский р-н",№ 1 от 17.12.14 г. до 31.12.15 г., песок,Е,"10,6 га",К-43-30,Протокол переговоров №403-Н-14 от 17.12.14 г.,"г. Бишкек, 6 мкр. 14-4",,,,,Перв. РОК 1299015030000273 кв 26600047 от 16.12.14 г.,ИНН 02206200710162,13464720  13464935  13465150  13465150  13464840,4770775  4771055  4770880  4770575  4770660,Кыргызстан,Аннулирована. Протокол №31-Н-20 от 27.11.20,,,,,,,,,,,
3059,3800 ТЕ от 16.12.14 г. до 16.12.33 г. Бланк №01254,Южная часть месторождения Кыртавылга,"ОсОО ""Ынтымак Кей Джи""","Чуйская область, Кеминский р-н",№ 2 от 20.04.17 г. до 16.12.33 г., гранит,Е,"3,8 га",К-42-44,Протокол переговоров №404-Н-14 от 16.12.14 г.,"г. Бишкек, ул. Кудайбергенова 23","гр. КНР Сюн Синьпин - 87%, Динг Фенг - 3%,  гр. КР Байпакбаева Э.Дж. - 10%",,,,Перв. РОК 1290535030000176 кв 89600029 от 17.12.14 г.,ИНН 02905201410055,13575600  13575760  13575728  13575582,4742200  4742090  4741855  4741975,Кыргызстан/КНР,ТЕ,,,,,,,,,,,
3060,3802 ТЕ от 16.12.14 г. до 04.12.29 г. Бланк №002702,Западная часть месторождения Ак-Суу,"ОсОО ""СМУТТ""","Иссык-Кульская область, Аксуйский район",№ 4 от 08.01.20 г. до 04.12.29 г., ПГС,Е,"4,7 га",К-43-43,Протокол переговоров №406-Н-14 от 16.12.14 г.,"Иссык-Кульская область, г. Каракол, Кыдыр-Аке 17",гр. КР Кожомкулова А.Н. - 100%,,,,Перв. РОК 1299235030000111 кв 53900003 от 22.12.14 г.,ИНН 01903200710201,14291569  14291290  14291357  14291492  14291609,4709920  4709679  4709629  4709658  4709632,Кыргызстан,ТЕ,,,,,,,,,,,
3061,3803 ТР от  21.07.21г. до 20.01.23г. Бланк № 000130,"участок Южный месторождение ""Джиль-Арык""","ОсОО ""Терек-Таш-Бир""","Чуйская обл., Кеминский р-н",№4 от 21.07.21 г. до 20.01.23г. , известняк,Р,"213,4 га","К-43-44, К-43-56",Протокол №19-Н-2021 от 28.06.2021г,"г. Бишкек, ул. Тыныстанова 18, кв. 14",гр. Кыргызской Республики Дженчураев Д.Д. - 100%,,,,РСК Банк 1299235030000515 кв.№ 215900047 от 27.07.21г.,ИНН 02602202110253,13569710  13570870  13570060  13569340  13569310,4726830  4726090  4724750  4724730  4726230,Кыргызстан,Аннулирована.протокол №36-Н-2023 от 30.05.2023г,1,1,,,,,,,,,
3062,3805 ТР от 16.12.14г до 13.02.23г бланк №002980,Участок Коморчек,"ОсОО ""Терек-Таш""","Чуйская обл., Кеминский р-н",№ 5 от 25.04.22г до 13.02.23г, гипс,Р,"22,0 га",К-43-56,протокол №08-Н-2022 от 25.03.2022г,"Чуйская обл., Кеминский р-н,Кара-Булакский а/о,уч.Жылтыр","гр. КР Арапбаев Д.А.-50%,Ибрагимова К.С.-50%",,,,Перв. РОК 1299235030000111 кв 97900078 от 17.12.14 г.,ИНН 01408201410066,13557430  13557760  13557445  13557155,4714465  4713870  4713725  4714090,Кыргызстан,Аннулирована. Протокол№ 21-Н-2023 от 24.03.2023г,,,,,,,,,,,
3063,3811 ВЕ пер. 16.12.14г от 24.10.2019г до 16.12.2029г бланк №002606,Родник Кара-Шоро,"ОсОО ""Качыралы""","Ошская область, Узгенский район",№ 5 от 22.09.2025г до 21.03.2026г , ППВ,ЕР,10 м³/сут,К-43-113,протокол №04-Н-2023 от 19.01.2023г   Протокол №47-Н-2025 от 10.09.2025г,"Ошская область, Узгенский р-н,а/а Мырза-Аке, с. Мырза-Аке","гр. КР Чокубаев К.Р. - 50%, Дыйканбаев Ы. - 50%",1290485030000143  ОКПО 28384568  04.02.2015г ,7956 сом,,нет,ИНН 004009201310017,4514500,13418800,Кыргызстан,ВЕ,Чокубаев Болотбек Кабылжанович,"0708-904768,0777-099339,0773-109-539",Узген,,Бенефициары, 1. Чокубаев Болотбек Кабылжанович 2.Дыйканбаев Ыдырыс,КР                  КР     ,1.без указаний сведений,"1. Узгенский р-н, с.Мырза-Аке, тел:0777099339   2. г.Бишкек,ул. Токтогула-213/13 тел:0708904768",50%     50%,2023
3064,3815 СЕ пер. 19.122014 г. от 04.06.2020 г. до 19.12.2029 г. бланк №002934,"Юго-западный фланг, поле 12 Сулюктинского буроугольного месторождения","ОсОО ""Майтонбос""","Баткенская область, Лейлекский район",№3 от 07.07.2025г до 19.12.2029г, Бурый Уголь,ЕП,"5,41 га",J-42-08,Протокол № 07-Н-20 от 11.03.2020 г.         Протокол №31-Н-2025 от 02.07.2025г  ,"г. Бишкек.,  ул. Исанова  105/3, каб. 604","гр. КНР Лю И -40%, Ся Тунюань -60%",Кв. № 215900013   07.02.2020г.  Кв. № 88100232    19.01.2015г.,"21305-00 сом,             18208-32 сом ",,ЦК МФКР    129923030000515  Кв. № 221100080 от 26.08.2020 г.,ИНН 00210201410038,4424073 4424092  4423800  4423801   ,12561654     12561898    12561860       12561721,КНР,СЕ,Ся Тунюань,Тел.                  0700-00-79-33       ,Кулунду а/а,,Бенефициар,1. Ся Тунюань; 2.Лю И.,1. КР; 2. КНР ,без указания сведений ,"ОсОО ""Майтонбос"" адрес г.Бишкек,Первомайский р-н,ул. Исанова,д.105, офис 604",1. 60%/60%; 2. 40%/40%,2020г 
3065,3828 ВЕ пер. 24.12.14 г. от 06.02.20г. до 24.12.24 г.  бланк №002815,Скважина №9764 ,"ОсОО ""ЭФАС компани""","Иссык-Кульская обл., Тюпский р-н",№ 3 от 06.02.20 г. до 24.12.24 г., ППВ,ЕР,16 м³/сут,К-44-37,Протокол №44-Н-2019г от 17.12.19г ,"Ыссык-Кульская область, Тюпский район, с. Фрунзе, ул. Садыбекова б/н","гр. ФРГ Керхер Роберт - 50% , Керхер Геб Бендлин- 50%",1299155030000142  №235500074  27.01.2015г,12459 сом,,Перв. РОК 1299005950003055 кв 243800092 от 24.02.20 г.,ИНН 01509200510010,4740400,14269550,ФРГ,ВЕ,Керхер Роберт ,"0772-408393, 0773-263951",с.Тюп,,,,,,,,
3066,3829 ТР от 25.12.14 г. до 08.09.22 г. Бланк №002220,Восточно-Джиль-Арыкская площадь,"ОсОО ""ЗЭТ Цемент""","Чуйская обл., Кеминский р-н",№4 от 24.10.19 г. до 08.09.22 г., известняк,Р,"530,8 га",К-43-44,Протокол переговоров №436-Н-14 от 25.12.14 г.,"г. Бишкек, ул. Чолпон-Атинская 2/2","ОсОО ""ШАНФЕН ЗЭТ ЦЕМЕНТ"" -  100%",,,,Перв. РОК 1299235030000212 кв 100300062 от 25.12.14 г.,ИНН 00406201210104,13572128  13573211  13571705  13569700  13569100  13569100  13570150  13570950  13570570,4728306  4727426  4725504  4723800  4723800  4724600  4724600  4726080  4726310,Кыргызстан,Аннулирована.протокол №26-Н-2023 от 06.04.2023г ,,,,,Бенефициары в деле №3363 ТЕ ,,,,,,
3067,3834 ТР от 30.12.14 г. до 30.11.21 г. Бланк №002773 измен от 16.07.20,"Участок ""Айлама""","ОсОО ""Гранд Стоун групп""","Джалал-Абадская область, Сузакский район",№ 5 от 05.05.20 г. до 30.11.21 г., доломитовый известняк-ракушечник,Р,"30,19 га",К-44-111,протокол переговоров №443-Н-14 от 30.12.14 г.,"г. Бишкек, ул. Ташиева 2 А"," гр. КР Максутов Т.Ж. - 50 % Эргешов У.А. - 25%, Разыкова  Д.К. - 25%",,,,Перв. РОК 1299205030000563 кв 44500048 от 19.01.15 г.,ИНН 0101021410051,13340800  13341150  13341840  13341500,4527550  4527650  4527050  4526900,Кыргызстан,Аннулирована.протокол №26-Н-2023 от 06.04.2023г ,,,,,,,,,,,
3068,3835 ТЕ от 08.01.2015 г. до 08.01.2035 г. бланк №01346 ,"Северо-Западная часть участка ""Башкарасуу Северный""","ОсОО ПК ""Дишан-Курулуш"""," Чуйская область, Аламудунский район",№5 от 29.12.2025г до 08.01.2035г , суглинок,Е предост.заключения на ТП,"7,4 га",К-43-42,Протокол переговоров №01-Н-15 от 08.01.15г ЛС №4 протокол №76-Н-2023 от 06.12.2023г                         Протокол№ 69-Н-2025 от 19.12.2025г ,"Чуйская обл. Аламудунскийр-н,а/о Байтик,с.Башкара-Суу", гр. КР Жунусова Мээрим Маратовна-100%,ОКПО 23901295 от 29.11.2023г ,95807-03 сом ,,Перв. РОК 1290535030000111 кв 53900083 от 10.01.15 г.,ИНН 01310200510074,13461640  13462118  13462134  13461742,4738724  4738820  4738654  4738592,Кыргызстан,ТЕ,Жунусова Мээрим Маратовна,"0777-542518,0312-417461, 0703-213770,0551-213770",,,Бенефициары,Жунусова Мээрим Маратовна,КР,без указания сведений,"г.Бишкек, ж/м. Кара-Жыгач, ул. Исакеева д.37А",100%/100%,без указания сведений
3069,3838 ТР от 08.12.15 г. до 31.12.20 г. Бланк №000394 продление срока от 29.12.20г. До 30.11.23г. Бл.№003490,Месторождение Куйлю,"ОсОО ""Bain Geo"" (Байн Гео)","Иссык-Кульская область, Ак-Суйский район",№ 6 от 29.12.20г. До 30.11.23г. , графит,Р,984 га,"К-44-62, 63",Протокол переговоров №04-Н-15 от 08.01.15 г.,"г. Бишкек , ул Боконбаева 99, кв.31","гр. КР Дженчураева Розалия Джаманкуловна - 1%, ОсОО ""Геотраст"" - 99%",,,,кв. 244800113 от 18.01.21,ИНН 01903201310043,14333000  14333000  14341000  14341000,4673000  4676000  4676000  4673000,Кыргызстан/ КНР,Аннулирована.протокол №53-Н-2023г от  11.08.2023г ,,,,,,,,,,,
3070,3839 МП от 08.01.15 г. до 31.12.17 г. №01350,Джолжакшинская площадь,"ОсОО ""Тенир-Тоо Кен Ресурс""","Нарынская обл., Нарынский р-н",№3 от 25.12.15 г. до 31.12.17 г., молибден,П,1140 га,К-43-93,протокол переговоров №05-Н-15 от 08.01.15 г.,"г. Бишкек пр.Чуй ,114-318 Кырбашева К.Б.","гр.КР Кырбашева К.Р,-50%, Токсобаев А.Т.- 50%",,,,Перв.РОК       1290535030000176 кв29700352  от 14.01.15 г.   ,ИНН 00307201410128,13616100. 13618000. 13618000. 13616100.,4614000. 4614000. 4608000. 4608000.,Кыргызстан,Аннулирована.протокол №127-Н-18 от 19.03.18,,,,,,,,,,,
3071,3840 ТР от 08.12.15 г. до 31.12.16 г. №01353,"Месторождение ""Чуинчи""",ОсОО Тоо Кен Барс,"Баткенская  обл., Ляйлякский р-н",№2 от 13.04.14 г. до 31.12.16 г., известняк-ракушечник,Р,89.0 га,J-42-8,протокол переговоров №06-Н-15 от 08.01.15 г.,"г. Бишкек , ул. Кантемир, д. 178 Сапарбек у. Эрлан",гр.КР Айтиев Т.С - 100%,,,,Перв.РОК       1290045030000168 кв.28000099  от 12.01.15   ,ИНН 02603201310047. ,"12576936, 12577770, 12578223, 12577492","4419519, 4420175, 4419540, 4418780",Кыргызстан,Аннулирована.Протокол №64-Н-17 от 10.02.17г.,,,,,,,,,,,
